target_d,station_id,zone,method,stock_mae,empty_hours_pred,empty_hours_actual,full_hours_pred,full_hours_actual,empty_hour_diff,full_hour_diff,risk_diff
7,S024,Commercial/Transit (商业与交通枢纽区),base2,2.125,0,0,0,0,0,0,0
7,S024,Commercial/Transit (商业与交通枢纽区),model,3.9166666666666665,1,0,0,0,1,0,1
7,S025,Recreational/Public (休闲与公共设施区),base1,14.75,0,0,0,2,0,2,2
7,S025,Recreational/Public (休闲与公共设施区),base2,12.875,0,0,0,2,0,2,2
7,S025,Recreational/Public (休闲与公共设施区),model,16.083333333333332,0,0,0,2,0,2,2
7,S026,Recreational/Public (休闲与公共设施区),base1,5.583333333333333,0,0,0,0,0,0,0
7,S026,Recreational/Public (休闲与公共设施区),base2,5.791666666666667,0,0,0,0,0,0,0
7,S026,Recreational/Public (休闲与公共设施区),model,5.291666666666667,0,0,0,0,0,0,0
7,S027,Recreational/Public (休闲与公共设施区),base1,4.666666666666667,4,3,0,0,1,0,1
7,S027,Recreational/Public (休闲与公共设施区),base2,2.5416666666666665,0,3,0,0,3,0,3
7,S027,Recreational/Public (休闲与公共设施区),model,4.25,1,3,0,0,2,0,2
7,S028,Recreational/Public (休闲与公共设施区),base1,4.083333333333333,0,4,0,0,4,0,4
7,S028,Recreational/Public (休闲与公共设施区),base2,5.5,0,4,0,0,4,0,4
7,S028,Recreational/Public (休闲与公共设施区),model,4.916666666666667,0,4,0,0,4,0,4
7,S029,Recreational/Public (休闲与公共设施区),base1,7.541666666666667,0,0,0,7,0,7,7
7,S029,Recreational/Public (休闲与公共设施区),base2,5.958333333333333,0,0,0,7,0,7,7
7,S029,Recreational/Public (休闲与公共设施区),model,6.708333333333333,0,0,0,7,0,7,7
7,S030,Recreational/Public (休闲与公共设施区),base1,4.291666666666667,0,3,0,0,3,0,3
7,S030,Recreational/Public (休闲与公共设施区),base2,3.2916666666666665,1,3,0,0,2,0,2
7,S030,Recreational/Public (休闲与公共设施区),model,4.291666666666667,0,3,0,0,3,0,3
