analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,mae,rmse,smape,hit10,total_relative_error,share_l1,stock_mae,risk_diff,delta_vs_base_mae,delta_vs_base_rmse,delta_vs_base_smape,delta_vs_base_total_relative_error,delta_vs_base_share_l1,delta_vs_base_stock_mae,delta_vs_base_risk_diff,delta_vs_base_hit10
02_weight_clip,narrow_clip_0_3_0_7,Stronger shrinkage by lowering the upper credibility bound.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.70]",True,cap,1.7402777777777778,2.330951164939612,0.4737856574654911,0.33402777777777776,0.015654118524040254,0.23669321599824328,6.141666666666667,2.9,-0.033333333333333215,-0.04514507329092998,-0.0018886209063678772,0.005031680954155796,-0.0037356803680773376,-0.08472222222222214,0.10000000000000009,0.01041666666666663
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_weight_clip,conservative_0_4_0_8,Avoid very low station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.40,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_weight_clip,wide_clip_0_2_0_9,Allow stronger station self-dependence and stronger shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.20,0.90]",True,cap,1.7909722222222222,2.4225503090751284,0.47706448788114025,0.3215277777777778,0.01090197540067089,0.24292521307462822,6.391666666666667,3.1,0.01736111111111116,0.046454070844586415,0.0013902095092812594,0.00027953783078643255,0.0024963167083076054,0.16527777777777786,0.30000000000000027,-0.002083333333333326
02_weight_clip,upper_0_9,Keep lower bound but allow higher station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.90]",True,cap,1.7909722222222222,2.4225503090751284,0.47706448788114025,0.3215277777777778,0.01090197540067089,0.24292521307462822,6.391666666666667,3.1,0.01736111111111116,0.046454070844586415,0.0013902095092812594,0.00027953783078643255,0.0024963167083076054,0.16527777777777786,0.30000000000000027,-0.002083333333333326
02_weight_clip,high_trust_0_5_0_9,Force stronger reliance on station baseline-day samples.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.50,0.90]",True,cap,1.7909722222222222,2.4225503090751284,0.47706448788114025,0.3215277777777778,0.01090197540067089,0.24292521307462822,6.391666666666667,3.1,0.01736111111111116,0.046454070844586415,0.0013902095092812594,0.00027953783078643255,0.0024963167083076054,0.16527777777777786,0.30000000000000027,-0.002083333333333326
